congener,orthos,MW,RRT,koa.25,koa.old
1,1,188.65286,0.2668,6.374554861,6.157381526
2,0,188.65286,0.2932,6.622554861,6.53227136
3,0,188.65286,0.296,6.640554861,6.572032403
4,2,223.09792,0.3113,6.521554861,6.789298102
5,1,223.09792,0.3409,6.980554861,7.209629127
6,1,223.09792,0.3362,6.934554861,7.142887377
7,1,223.09792,0.3291,6.882554861,7.042064732
8,1,223.09792,0.3403,6.976554861,7.201108904
9,1,223.09792,0.3258,6.938554861,6.995203503
10,2,223.09792,0.3114,6.601554861,6.790718139
11,0,223.09792,0.3628,7.205554861,7.520617285
12,0,223.09792,0.3665,7.239554861,7.573158663
13,0,223.09792,0.3669,7.273554861,7.578838812
14,0,223.09792,0.3499,7.044554861,7.33743248
15,0,223.09792,0.3704,7.337554861,7.628540115
16,2,257.54298,0.3812,7.148554861,7.781904138
17,2,257.54298,0.3704,7.066554861,7.628540115
18,2,257.54298,0.369,7.123554861,7.608659594
19,3,257.54298,0.3539,6.763554861,7.394233969
20,1,257.54298,0.4055,7.621554861,8.12697319
21,1,257.54298,0.405,7.542554861,8.119873003
22,1,257.54298,0.4102,7.687554861,8.19371494
23,1,257.54298,0.388,7.455554861,7.878466671
24,2,257.54298,0.3761,7.238554861,7.709482239
25,1,257.54298,0.3947,7.558554861,7.973609167
26,1,257.54298,0.3933,7.574554861,7.953728645
27,2,257.54298,0.376,7.221554861,7.708062201
28,1,257.54298,0.3993,7.602554861,8.03893088
29,1,257.54298,0.3901,7.517554861,7.908287453
30,2,257.54298,0.3598,7.070554861,7.478016167
31,1,257.54298,0.3985,7.620554861,8.027570582
32,2,257.54298,0.3761,7.235554861,7.709482239
33,1,257.54298,0.4054,7.608554861,8.125553152
34,1,257.54298,0.3875,7.423554861,7.871366485
35,0,257.54298,0.4315,7.583054861,8.496182874
36,0,257.54298,0.4138,7.741554861,8.244836281
37,0,257.54298,0.4361,8.036554861,8.561504588
38,0,257.54298,0.4253,7.782554861,8.408140565
39,0,257.54298,0.4193,7.802554861,8.32293833
40,2,291.98804,0.4453,7.786554861,8.692148014
41,2,291.98804,0.4417,7.690554861,8.641026673
42,2,291.98804,0.4361,7.740554861,8.561504588
43,2,291.98804,0.4234,7.613554861,8.381159857
44,2,291.98804,0.4339,7.776554861,8.530263768
45,3,291.98804,0.4134,7.368554861,8.239156132
46,3,291.98804,0.4183,7.388554861,8.308737957
47,2,291.98804,0.4258,7.672554861,8.415240751
48,2,291.98804,0.4264,7.687554861,8.423760974
49,2,291.98804,0.424,7.690554861,8.389680081
50,3,291.98804,0.3985,7.259554861,8.027570582
51,3,291.98804,0.4096,7.310554861,8.185194717
52,2,291.98804,0.4213,7.724554861,8.351339075
53,3,291.98804,0.408,7.374554861,8.162474121
54,4,291.98804,0.3901,6.840554861,7.908287453
55,1,291.98804,0.4654,8.237554861,8.977575501
56,1,291.98804,0.4702,8.318554861,9.045737289
57,1,291.98804,0.4474,8.126554861,8.721968797
58,1,291.98804,0.452,8.160554861,8.78729051
59,2,291.98804,0.4354,7.855554861,8.551564327
60,1,291.98804,0.4706,8.314554861,9.051417438
61,1,291.98804,0.4563,8.051554861,8.848352112
62,2,291.98804,0.4291,7.710554861,8.46210198
63,1,291.98804,0.4534,8.173554861,8.807171032
64,2,291.98804,0.4415,7.903554861,8.638186599
65,2,291.98804,0.4282,7.721554861,8.449321645
66,1,291.98804,0.4603,8.281554861,8.905153602
67,1,291.98804,0.4501,8.219554861,8.760309802
68,1,291.98804,0.4423,8.072554861,8.649546897
69,2,291.98804,0.4202,7.724554861,8.335718665
70,1,291.98804,0.4581,8.282554861,8.873912782
71,2,291.98804,0.4408,7.871554861,8.628246338
72,1,291.98804,0.4393,8.089554861,8.60694578
73,2,291.98804,0.4216,7.712554861,8.355599187
74,1,291.98804,0.4558,8.256554861,8.841251926
75,2,291.98804,0.4261,7.771554861,8.419500863
76,1,291.98804,0.4588,8.140554861,8.883853043
77,0,291.98804,0.4961,8.737554861,9.413526937
78,0,291.98804,0.4845,8.525554861,9.505814262
79,0,291.98804,0.4785,8.513554861,9.425847148
80,0,291.98804,0.4598,8.294554861,9.176616309
81,0,291.98804,0.4905,8.592554861,9.585781376
82,2,326.4331,0.5027,8.423554861,9.507249395
83,2,326.4331,0.4842,8.322554861,9.244542504
84,3,326.4331,0.4734,8.028554861,9.091178481
85,2,326.4331,0.4928,8.404554861,9.366665707
86,2,326.4331,0.4881,8.241554861,9.299923957
87,2,326.4331,0.4903,8.414554861,9.331164776
88,3,326.4331,0.4624,7.873554861,8.934974384
89,3,326.4331,0.4746,7.984554861,9.108218928
90,2,326.4331,0.4747,8.279554861,9.109638965
91,3,326.4331,0.4645,7.979554861,8.964795166
92,2,326.4331,0.4712,8.323554861,9.059937662
93,3,326.4331,0.4606,7.896554861,8.909413713
94,3,326.4331,0.4552,7.925554861,8.832731702
95,3,326.4331,0.4607,8.041554861,8.910833751
96,4,326.4331,0.4444,7.485554861,8.679367679
97,2,326.4331,0.4872,8.423554861,9.287143621
98,3,326.4331,0.4591,7.925554861,8.888113155
99,2,326.4331,0.4778,8.381554861,9.15366012
100,3,326.4331,0.4501,7.868554861,8.760309802
101,2,326.4331,0.4746,8.378554861,9.108218928
102,3,326.4331,0.4594,7.979554861,8.892373266
103,3,326.4331,0.4458,7.906554861,8.699248201
104,4,326.4331,0.4313,7.328554861,8.4933428
105,1,326.4331,0.5267,9.041554861,10.06824963
106,1,326.4331,0.5115,8.811554861,9.865666275
107,1,326.4331,0.5085,8.896554861,9.825682718
108,1,326.4331,0.5087,8.853554861,9.828348289
109,2,326.4331,0.4843,8.418554861,9.245962541
110,2,326.4331,0.4961,8.575554861,9.413526937
111,1,326.4331,0.4908,8.722554861,9.589779732
112,2,326.4331,0.4829,8.412554861,9.22608202
113,2,326.4331,0.4767,8.415554861,9.13803971
114,1,326.4331,0.5178,8.883554861,9.949631745
115,2,326.4331,0.4909,8.488554861,9.339685
116,2,326.4331,0.4892,8.247554861,9.315544366
117,2,326.4331,0.4899,8.466554861,9.325484627
118,1,326.4331,0.5114,9.029554861,9.86433349
119,2,326.4331,0.4815,8.476554861,9.206201498
120,1,326.4331,0.4926,8.788554861,9.613769866
121,2,326.4331,0.4624,8.281554861,8.934974384
122,1,326.4331,0.5192,8.929554861,9.968290738
123,1,326.4331,0.51,8.887554861,9.845674497
124,1,326.4331,0.5065,8.886554861,9.799027013
125,2,326.4331,0.4888,8.439554861,9.309864217
126,0,326.4331,0.5455,9.365554861,10.31881326
127,0,326.4331,0.5269,9.145554861,10.0709152
128,2,360.87816,0.5559,9.112554861,10.26270921
129,2,360.87816,0.5449,8.972554861,10.10650511
130,2,360.87816,0.5372,9.005554861,9.997162246
131,3,360.87816,0.5192,8.584554861,9.741555541
132,3,360.87816,0.5262,8.661554861,9.840958148
133,2,360.87816,0.5175,8.939554861,9.717414908
134,3,360.87816,0.5165,8.577554861,9.703214535
135,3,360.87816,0.5059,8.599554861,9.552690587
136,4,360.87816,0.4945,8.100554861,9.390806341
137,2,360.87816,0.5358,8.949554861,9.977281724
138,2,360.87816,0.5404,9.104554861,10.04260344
139,3,360.87816,0.5105,8.541554861,9.6180123
140,3,360.87816,0.5123,8.570554861,9.643572971
141,2,360.87816,0.5318,8.968554861,9.920480234
142,3,360.87816,0.5197,8.400554861,9.748655727
143,3,360.87816,0.5158,8.519554861,9.693274274
144,3,360.87816,0.5063,8.587554861,9.558370736
145,4,360.87816,0.4903,7.966554861,9.331164776
146,2,360.87816,0.5212,9.005554861,9.769956286
147,3,360.87816,0.5082,8.529554861,9.585351444
148,3,360.87816,0.4925,8.485554861,9.362405596
149,3,360.87816,0.5104,8.683554861,9.616592263
150,4,360.87816,0.482,8.004554861,9.213301685
151,3,360.87816,0.5036,8.576554861,9.52002973
152,4,360.87816,0.4864,7.977554861,9.275783323
153,2,360.87816,0.5245,9.091554861,9.816817515
154,3,360.87816,0.4967,8.566554861,9.42204716
155,4,360.87816,0.4691,7.873554861,9.03011688
156,1,360.87816,0.569,9.621554861,10.63201779
157,1,360.87816,0.5725,9.641554861,10.67866527
158,2,360.87816,0.541,9.190554861,10.05112366
159,1,360.87816,0.55,9.436554861,10.37878859
160,2,360.87816,0.5416,8.988554861,10.05964388
161,2,360.87816,0.5223,9.013554861,9.785576696
162,1,360.87816,0.5531,9.509554861,10.42010493
163,2,360.87816,0.5401,9.159554861,10.03834333
164,2,360.87816,0.54,9.162554861,10.03692329
165,2,360.87816,0.52,8.998554861,9.752915839
166,2,360.87816,0.5497,9.053554861,10.1746669
167,1,360.87816,0.5564,9.617554861,10.46408685
168,2,360.87816,0.5263,9.057554861,9.842378186
169,0,360.87816,0.5904,9.994554861,10.91723383
170,2,395.32322,0.5951,9.717554861,10.81936381
171,3,395.32322,0.5688,9.261554861,10.44589402
172,2,395.32322,0.5751,9.642554861,10.53535636
173,3,395.32322,0.5722,9.147554861,10.49417528
174,3,395.32322,0.5631,9.270554861,10.36495189
175,3,395.32322,0.5484,9.209554861,10.15620642
176,4,395.32322,0.5369,8.675554861,9.992902134
177,3,395.32322,0.5662,9.255554861,10.40897305
178,3,395.32322,0.5454,9.199554861,10.1136053
179,4,395.32322,0.533,8.678554861,9.937520681
180,2,395.32322,0.5787,9.717554861,10.5864777
181,3,395.32322,0.564,9.136554861,10.37773223
182,3,395.32322,0.55,9.178554861,10.17892701
183,3,395.32322,0.5529,9.284554861,10.22010809
184,4,395.32322,0.5247,8.577554861,9.81965759
185,3,395.32322,0.5589,9.167554861,10.30531033
186,4,395.32322,0.5422,8.512554861,10.06816411
187,3,395.32322,0.55,9.251554861,10.17892701
188,4,395.32322,0.5209,8.561554861,9.765696174
189,1,395.32322,0.6108,9.275554861,11.18912201
190,2,395.32322,0.5958,9.798554861,10.82930407
191,2,395.32322,0.5825,9.814554861,10.64043912
192,2,395.32322,0.5755,9.626554861,10.54103651
193,2,395.32322,0.5802,9.780554861,10.60777826
194,2,429.76828,0.6297,10.36255486,11.3106967
195,3,429.76828,0.6191,9.874554861,11.16017275
196,3,429.76828,0.6029,9.922554861,10.93012672
197,4,429.76828,0.5768,9.284554861,10.559497
198,3,429.76828,0.598,9.820554861,10.86054489
199,3,429.76828,0.5997,9.232554861,10.88468553
200,4,429.76828,0.5854,9.277554861,10.6816202
201,4,429.76828,0.5726,9.892554861,10.49985543
202,4,429.76828,0.5662,9.279554861,10.40897305
203,3,429.76828,0.6026,9.891554861,10.92586661
204,4,429.76828,0.5739,9.151554861,10.51831592
205,2,429.76828,0.6328,10.44755486,11.35471786
206,3,464.21334,0.6497,10.53755486,11.59470415
207,4,464.21334,0.6227,9.900554861,11.21129409
208,4,464.21334,0.6184,9.875554861,11.15023249
209,4,498.6584,0.666,10.51655486,11.82617022
