congener,orthos,MW,RRT,koa.25,koa.old,kpuf
1,1,188.65286,0.2668,6.374554861,6.157381526,171819.9
2,0,188.65286,0.2932,6.622554861,6.53227136,247764.2
3,0,188.65286,0.296,6.640554861,6.572032403,254388.5
4,2,223.09792,0.3113,6.521554861,6.789298102,213425.3
5,1,223.09792,0.3409,6.980554861,7.209629127,419308.3
6,1,223.09792,0.3362,6.934554861,7.142887377,391967.4
7,1,223.09792,0.3291,6.882554861,7.042064732,363200.7
8,1,223.09792,0.3403,6.976554861,7.201108904,416857
9,1,223.09792,0.3258,6.938554861,6.995203503,394272.3
10,2,223.09792,0.3114,6.601554861,6.790718139,239979.3
11,0,223.09792,0.3628,7.205554861,7.520617285,584597.2
12,0,223.09792,0.3665,7.239554861,7.573158663,614470.7
13,0,223.09792,0.3669,7.273554861,7.578838812,645870.7
14,0,223.09792,0.3499,7.044554861,7.33743248,461704.5
15,0,223.09792,0.3704,7.337554861,7.628540115,709394.7
16,2,257.54298,0.3812,7.148554861,7.781904138,537123.8
17,2,257.54298,0.3704,7.066554861,7.628540115,476291.9
18,2,257.54298,0.369,7.123554861,7.608659594,517796.9
19,3,257.54298,0.3539,6.763554861,7.394233969,304715.9
20,1,257.54298,0.4055,7.621554861,8.12697319,1077145.7
21,1,257.54298,0.405,7.542554861,8.119873003,959363.2
22,1,257.54298,0.4102,7.687554861,8.19371494,1186561
23,1,257.54298,0.388,7.455554861,7.878466671,844498.4
24,2,257.54298,0.3761,7.238554861,7.709482239,612870.1
25,1,257.54298,0.3947,7.558554861,7.973609167,982129.3
26,1,257.54298,0.3933,7.574554861,7.953728645,1005435.6
27,2,257.54298,0.376,7.221554861,7.708062201,597786.6
28,1,257.54298,0.3993,7.602554861,8.03893088,1047560.4
29,1,257.54298,0.3901,7.517554861,7.908287453,924843.1
30,2,257.54298,0.3598,7.070554861,7.478016167,479092.8
31,1,257.54298,0.3985,7.620554861,8.027570582,1075568
32,2,257.54298,0.3761,7.235554861,7.709482239,610180.9
33,1,257.54298,0.4054,7.608554861,8.125553152,1056814.2
34,1,257.54298,0.3875,7.423554861,7.871366485,805800.7
35,0,257.54298,0.4315,7.583054861,8.496182874,1020595.4
36,0,257.54298,0.4138,7.741554861,8.244836281,1287522.1
37,0,257.54298,0.4361,8.036554861,8.561504588,1984045.9
38,0,257.54298,0.4253,7.782554861,8.408140565,1367273.2
39,0,257.54298,0.4193,7.802554861,8.32293833,1407950.2
40,2,291.98804,0.4453,7.786554861,8.692148014,1373743.2
41,2,291.98804,0.4417,7.690554861,8.641026673,1193416.3
42,2,291.98804,0.4361,7.740554861,8.561504588,1284168.4
43,2,291.98804,0.4234,7.613554861,8.381159857,1066040.6
44,2,291.98804,0.4339,7.776554861,8.530263768,1353753.4
45,3,291.98804,0.4134,7.368554861,8.239156132,742537.7
46,3,291.98804,0.4183,7.388554861,8.308737957,764628.6
47,2,291.98804,0.4258,7.672554861,8.415240751,1162339.9
48,2,291.98804,0.4264,7.687554861,8.423760974,1188179.8
49,2,291.98804,0.424,7.690554861,8.389680081,1193416.3
50,3,291.98804,0.3985,7.259554861,8.027570582,632891.3
51,3,291.98804,0.4096,7.310554861,8.185194717,682017.8
52,2,291.98804,0.4213,7.724554861,8.351339075,1254400.9
53,3,291.98804,0.408,7.374554861,8.162474121,749097.1
54,4,291.98804,0.3901,6.840554861,7.908287453,341590.2
55,1,291.98804,0.4654,8.237554861,8.977575501,2667475.3
56,1,291.98804,0.4702,8.318554861,9.045737289,3003758.5
57,1,291.98804,0.4474,8.126554861,8.721968797,2266928.5
58,1,291.98804,0.452,8.160554861,8.78729051,2382770.5
59,2,291.98804,0.4354,7.855554861,8.551564327,1519955.8
60,1,291.98804,0.4706,8.314554861,9.051417438,2986198.1
61,1,291.98804,0.4563,8.051554861,8.848352112,2030920
62,2,291.98804,0.4291,7.710554861,8.46210198,1228921
63,1,291.98804,0.4534,8.173554861,8.807171032,2428611.3
64,2,291.98804,0.4415,7.903554861,8.638186599,1630751.4
65,2,291.98804,0.4282,7.721554861,8.449321645,1248896.8
66,1,291.98804,0.4603,8.281554861,8.905153602,2845187
67,1,291.98804,0.4501,8.219554861,8.760309802,2598014.8
68,1,291.98804,0.4423,8.072554861,8.649546897,2094408.6
69,2,291.98804,0.4202,7.724554861,8.335718665,1254400.9
70,1,291.98804,0.4581,8.282554861,8.873912782,2849360.6
71,2,291.98804,0.4408,7.871554861,8.628246338,1556025
72,1,291.98804,0.4393,8.089554861,8.60694578,2147255
73,2,291.98804,0.4216,7.712554861,8.355599187,1232529
74,1,291.98804,0.4558,8.256554861,8.841251926,2742810.6
75,2,291.98804,0.4261,7.771554861,8.419500863,1343867.8
76,1,291.98804,0.4588,8.140554861,8.883853043,2313930
77,0,291.98804,0.4961,8.737554861,9.413526937,5565301.1
78,0,291.98804,0.4845,8.525554861,9.505814262,4078772.3
79,0,291.98804,0.4785,8.513554861,9.425847148,4007654.4
80,0,291.98804,0.4598,8.294554861,9.176616309,2907199.7
81,0,291.98804,0.4905,8.592554861,9.585781376,4499680.4
82,2,326.4331,0.5027,8.423554861,9.507249395,3508327.4
83,2,326.4331,0.4842,8.322554861,9.244542504,3025544.3
84,3,326.4331,0.4734,8.028554861,9.091178481,1961349
85,2,326.4331,0.4928,8.404554861,9.366665707,3411966.2
86,2,326.4331,0.4881,8.241554861,9.299923957,2686822.1
87,2,326.4331,0.4903,8.414554861,9.331164776,3462348
88,3,326.4331,0.4624,7.873554861,8.934974384,1562722.5
89,3,326.4331,0.4746,7.984554861,9.108218928,1838842.2
90,2,326.4331,0.4747,8.279554861,9.109638965,2840728.4
91,3,326.4331,0.4645,7.979554861,8.964795166,1825414.4
92,2,326.4331,0.4712,8.323554861,9.059937662,3029982.5
93,3,326.4331,0.4606,7.896554861,8.909413713,1616306.3
94,3,326.4331,0.4552,7.925554861,8.832731702,1686495
95,3,326.4331,0.4607,8.041554861,8.910833751,1999082.3
96,4,326.4331,0.4444,7.485554861,8.679367679,882658.7
