school,Room,Result,Sampler
Cabot School,Building 4A Floor 1 Art Room,120,vt
Cabot School,Building 4A Floor 1 Bathroom,55,vt
Cabot School,Building 4A Floor 1 Storage Closet,100,vt
Cabot School,Building 4B Floor 1 Main Room,0,vt
Cabot School,Building 4B 1st Floor Main Classroom,0,vt
Cabot School,Building 4B Floor 2 Main Room,0,vt
Cabot School,Building 4B  Foyer,0,vt
Cabot School,Building 4B Floor 1 Stairway,0,vt
Cabot School,Building 4B Floor 1 Storage Closet,0,vt
Cabot School,Building 4C Floor 2 Coat Room,0,vt
Cabot School,Building 4C Floor 2 Bathroom 1,0,vt
Cabot School,Building 4C Foyer,0,vt
Cabot School,Building 4D Floor 2 Bathroom 2,0,vt
Cabot School,Building 4D Floor 2 Main Room,0,vt
Cabot School,Building 4D Floor 1 Staff Room,0,vt
Cabot School,Field Blank,0,vt
Cabot School,GYM Gym,110,vt
Cabot School,GYM East Side Boys Room,13,vt
Cabot School,GYM Girls Locker Room,77,vt
Cabot School,GYM East Entry and Hallway,33,vt
Cabot School,GYM  North Entry and Lobby,36,vt
Cabot School,GYM Stairway,43,vt
Cabot School,GYM Floor 2 Mechanical/Storage Area,110,vt
Cabot School,Main Building Boys Bathroom,0,vt
Cabot School,Main Building Room 301,8.3,vt
Cabot School,Main Building Room 302,13,vt
Cabot School,Main Building Room 309,9.4,vt
Cabot School,Main Building Room 106 & 107,0,vt
Cabot School,Main Building Library,9.5,vt
Cabot School,Main Building Floor 1 Main Hallway,0,vt
Cabot School,Main Building Floor 2 Main Hallway,20,vt
Cabot School,Main Building Mechanical Room,0,vt
Cabot School,Main Building Mezzanine Entry,0,vt
Cabot School,Main Building Room 111 & 112,0,vt
Cabot School,Main Building Room 102,0,vt
Cabot School,Main Building  Science Room,0,vt
Cabot School,Main Building Science Room,0,vt
Cabot School,GYM Office,27,vt
Cabot School,GYM Stage,210,vt
Cabot School,GYM Storage Area Stage Right,110,vt
Oak Grove School,Boiler Room,0,vt
Oak Grove School,Classroom 202,0,vt
Oak Grove School,Classroom 202,9.7,vt
Oak Grove School,First floor copy room,0,vt
Oak Grove School,Facility Bathroom -Womens,0,vt
Oak Grove School,Facilty Bathroom - Girls,0,vt
Oak Grove School,Field Blank,0,vt
Oak Grove School,Gym,0,vt
Oak Grove School,Hall 01,0,vt
Oak Grove School,Kitchen,0,vt
Oak Grove School,First floor lobby,0,vt
Oak Grove School,Room 100,0,vt
Oak Grove School,Room 101,0,vt
Oak Grove School,Room 101A,0,vt
Oak Grove School,Room 103,0,vt
Oak Grove School,Room 112,110,vt
Oak Grove School,Room 112,95,vt
Oak Grove School,Room 112A,0,vt
Oak Grove School,Room 113,0,vt
Oak Grove School,Room 12,0,vt
Oak Grove School,Room 13,0,vt
Oak Grove School,Room 15A,0,vt
Oak Grove School,Room 201,0,vt
Oak Grove School,Room 203,120,vt
Oak Grove School,Room 205,0,vt
Oak Grove School,Southeast Stair,0,vt
Bethel Elementary and White River Middle Schools,3,0,vt
Bethel Elementary and White River Middle Schools,7,0,vt
Bethel Elementary and White River Middle Schools,10,4.7,vt
Bethel Elementary and White River Middle Schools,Middle School hallway,3,vt
Bethel Elementary and White River Middle Schools,12,14,vt
Bethel Elementary and White River Middle Schools,13,23,vt
Bethel Elementary and White River Middle Schools,17,12,vt
Bethel Elementary and White River Middle Schools,20,5.8,vt
Bethel Elementary and White River Middle Schools,24,10,vt
Bethel Elementary and White River Middle Schools,Middle school lobby,15,vt
Bethel Elementary and White River Middle Schools,31,12,vt
Bethel Elementary and White River Middle Schools,31B,15,vt
Bethel Elementary and White River Middle Schools,32,15,vt
Bethel Elementary and White River Middle Schools,32A,18,vt
Bethel Elementary and White River Middle Schools,Cafeteria,19,vt
Bethel Elementary and White River Middle Schools,34,18,vt
Bethel Elementary and White River Middle Schools,39,27,vt
Bethel Elementary and White River Middle Schools,41,22,vt
Bethel Elementary and White River Middle Schools,41,22,vt
Bethel Elementary and White River Middle Schools,43,20,vt
Bethel Elementary and White River Middle Schools,47,25,vt
Bethel Elementary and White River Middle Schools,48,22,vt
Bethel Elementary and White River Middle Schools,Elementary lobby,15,vt
Bethel Elementary and White River Middle Schools,1,5.1,vt
Bethel Elementary and White River Middle Schools,1,5.1,vt
Bethel Elementary and White River Middle Schools,35,11,vt
Bethel Elementary and White River Middle Schools,,0,vt
Alburgh Community Education Center,Gym,6.7,vt
Alburgh Community Education Center,Primary P3,8.1,vt
Alburgh Community Education Center,Primary P2,11,vt
Alburgh Community Education Center,P-classrooms instructional space,8.7,vt
Alburgh Community Education Center,Primary P1,12,vt
Alburgh Community Education Center,Boy's bathroom 1st Floor,8.9,vt
Alburgh Community Education Center,Cafeteria,5.2,vt
Alburgh Community Education Center,Sp.Ed. Office S5,21,vt
Alburgh Community Education Center,Classroom K2,15,vt
Alburgh Community Education Center,Classroom K1,7,vt
Alburgh Community Education Center,Classroom M2,9.6,vt
Alburgh Community Education Center,Classroom M3,8.5,vt
Alburgh Community Education Center,M-Classrooms Sp.Ed.,19,vt
Alburgh Community Education Center,Library,7.4,vt
Alburgh Community Education Center,Main Office O1,7,vt
Alburgh Community Education Center,Student support office adjacent library,0,vt
Alburgh Community Education Center,Staff Break Room (loft),6.8,vt
Alburgh Community Education Center,Hallway/Stairwell adjacent staff break room (loft),13,vt
Alburgh Community Education Center,Boiler Room (loft),7.9,vt
Alburgh Community Education Center,Classroom I4,9.7,vt
Alburgh Community Education Center,Classroom I2,15,vt
Alburgh Community Education Center,Staff Bathroom (men's) 2nd Floor,0,vt
Alburgh Community Education Center,Library (duplicate),8.5,vt
South Royalton Elementary and White River Valley High School,A-7,0,vt
